image,final
dataset/train\DROWSY\1.jpg_0.png,DROWSY
dataset/train\DROWSY\1.png,DROWSY
dataset/train\DROWSY\10.jpg_0.png,DROWSY
dataset/train\DROWSY\10.png,DROWSY
dataset/train\DROWSY\100.png,DROWSY
dataset/train\DROWSY\1000.png,DROWSY
dataset/train\DROWSY\1001.png,DROWSY
dataset/train\DROWSY\1002.png,DROWSY
dataset/train\DROWSY\1003.png,DROWSY
dataset/train\DROWSY\1004.png,DROWSY
dataset/train\DROWSY\1005.png,DROWSY
dataset/train\DROWSY\1006.png,DROWSY
dataset/train\DROWSY\1007.png,DROWSY
dataset/train\DROWSY\1008.png,DROWSY
dataset/train\DROWSY\1009.png,DROWSY
dataset/train\DROWSY\101.jpg_0.png,DROWSY
dataset/train\DROWSY\101.png,DROWSY
dataset/train\DROWSY\1010.png,DROWSY
dataset/train\DROWSY\1011.png,DROWSY
dataset/train\DROWSY\1012.png,DROWSY
dataset/train\DROWSY\1013.png,DROWSY
dataset/train\DROWSY\1014.png,DROWSY
dataset/train\DROWSY\1015.png,DROWSY
dataset/train\DROWSY\1016.png,DROWSY
dataset/train\DROWSY\1017.png,DROWSY
dataset/train\DROWSY\1018.png,DROWSY
dataset/train\DROWSY\1019.png,DROWSY
dataset/train\DROWSY\102.png,DROWSY
dataset/train\DROWSY\1020.png,DROWSY
dataset/train\DROWSY\1021.png,DROWSY
dataset/train\DROWSY\1022.png,DROWSY
dataset/train\DROWSY\1023.png,DROWSY
dataset/train\DROWSY\1024.png,DROWSY
dataset/train\DROWSY\1025.png,DROWSY
dataset/train\DROWSY\1026.png,DROWSY
dataset/train\DROWSY\1027.png,DROWSY
dataset/train\DROWSY\1028.png,DROWSY
dataset/train\DROWSY\1029.png,DROWSY
dataset/train\DROWSY\103.jpg_0.png,DROWSY
dataset/train\DROWSY\103.png,DROWSY
dataset/train\DROWSY\1030.png,DROWSY
dataset/train\DROWSY\1031.png,DROWSY
dataset/train\DROWSY\1032.png,DROWSY
dataset/train\DROWSY\1033.png,DROWSY
dataset/train\DROWSY\1034.png,DROWSY
